perovskite_formula,precursors,solvents,solvent_ratio,molarity_M,additives,mix_temp_C,stir_time,filter_um,extraction_confidence,notes,pdf_file,llm_status,regex_precursors,regex_solvents,regex_molarity,regex_ratios
CsxFA1-x-yMAyPbI3-zBrz,"['FAI', 'PbI2', 'MABr', 'PbBr2', 'CsI']","['DMF', 'DMSO']",4:1,1.0,[],,overnight,,high,"Triple cation perovskite with FAI 1M, PbI2 1.1M, MABr 0.2M, PbBr2 0.2M; CsI added from separate 1.5M stock solution in DMSO",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1039c8ra03471k_Understanding_effects_of_precursor_solution_aging_in_triple_cation_lead_perovskite.pdf,ok,CsI;FAI;MABr;PbBr2;PbI2,DMF;DMSO,0.2 M;0.45 mm;1 M;1.1 M;1.5 M;42 m,4 : 1
MAPbI3,"['CH3NH3I', 'PbI2']","['DMF', 'DMSO']",1:1,,['PPC'],,,,high,PPC (polymeric Lewis base) used as additive for passivation and cross-linking; diethyl ether used as antisolvent during spin-coating,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-08455-z_Perovskite-polymer_composite_cross-linker_approach_for_highly-stable_and_efficient_perovskite_solar_cells.pdf,ok,PbI2,DMF;DMSO,,1:1
Cs0.04(FA0.84MA0.16)0.96Pb(I0.84Br0.16)3,"['CsI', 'FAI', 'MABr', 'PbBr2', 'PbI2']","['DMF', 'DMSO']",4:1,,[],60,30min,,high,"Specific masses given for 1 mL solvent: CsI (13.0 mg), FAI (180.6 mg), MABr (22.4 mg), PbBr2 (73.4 mg), PbI2 (531.3 mg)",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1038s41467-021-21292-3_Interpenetrating_interfaces_for_efficient_perovskite_solar_cells_with_high_operational_stability_and_mechanic.pdf,ok,CsI;FAI;MABr;PbBr2;PbI2,DMF;DMSO;acetonitrile;isopropanol,0.1 M;4 M,4:1
MAPbI3,"['PbI2', 'MAI']",['GBL'],,1,[],60,,0.2,high,"Text also mentions MAPbBr3 with DMF solvent, but MAPbI3 appears to be the main focus. Solution heated to 60°C for preparation, then crystals grown at 110°C.",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2015_10.1038ncomms8586_High-quality_bulk_hybrid_perovskite_single_crystals_within_minutes_by_inverse_temperature_crystallization.pdf,ok,MABr;MAI,DMF;GBL,0 mm;3 mm;8 mm,6:7586
Cs0.05FA0.95PbI3,"['FAI', 'PbI2', 'CsI']","['DMF', 'DMSO']",4:1,1.45,[],60,2h,,high,Calculated molarity based on total precursor mass (905.8 mg) and assuming ~620 g/mol average MW,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-05760-x_High_efficiency_planar-type_perovskite_solar_cells_with_negligible_hysteresis_using_EDTA-complexed_SnO2.pdf,ok,CsI;FAI;PbI2,DMF;DMSO,,4:1;v/v
FAxCs1-xPbI3,"['PbI2', 'FAI', 'CsI']","['DMF', 'GBL', 'DMSO']",1.1:1 (GBL:DMF),1.30,['HI'],,,,medium,"PbI2/DMSO ratio 1:1.2; HI (57% in water) added at 5:100 volume ratio; text mentions modulators (S, N, SN) at 2% vs PbI2 but details are fragmented",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-06709-w_Multifunctional_molecular_modulators_for_perovskite_solar_cells_with_over_20_efficiency_and_high_operational_.pdf,ok,FAI;PbI2,DMF;DMSO;GBL;acetonitrile;ethanol;isopropanol,1.30 M;200 mM;30 mM;65 mM,1.1:1;1:1;1:1.2;5:100;6:1
Cs0.2FA0.8Pb(I0.75Br0.25)3,"['CsI', 'CsBr', 'FAI', 'PbI2', 'PbBr2']","['DMF', 'DMSO']",4:1,1.4,[],,,,high,Text mentions multiple perovskite compositions but Cs0.2FA0.8Pb(I0.75Br0.25)3 formulation is most complete,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-05531-8_Dipolar_cations_confer_defect_tolerance_in_wide-bandgap_metal_halide_perovskites.pdf,ok,CsBr;CsI;FABr;FAI;MABr;PbBr2;PbI2,DMF;DMSO;isopropanol,1.4 M,3: 0.07;4:1
Cs0.05FA0.81MA0.14PbI2.55Br0.45,"['FAI', 'MABr', 'PbBr2', 'PbI2', 'CsI']","['DMF', 'DMSO']",4:1,1.3,[],,,,high,"Concentration calculated from given masses: total precursor mass 737 mg in 1 mL, MW ~567 g/mol gives ~1.3 M",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1038s41598-020-63674-5_Fully_Spray-Coated_Triple-Cation_Perovskite_Solar_Cells.pdf,ok,CsI;FAI;MABr;PbBr2;PbI2,DMF;DMSO,2 mm;20 mm;4 M;75 mm,4:1
(HC(NH2)2PbI3)0.85(CH3NH3PbBr3)0.15,"['HC(NH2)2PbI3', 'CH3NH3PbBr3']","['DMF', 'DMSO']",,,[],,,,medium,"Multiple formulations in table, extracted the most complete one with clear formula",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2022_10.1039d2se00162d_Recent_developments_in_perovskite-based_precursor_inks_for_scalable_architectures_of_perovskite_solar_cell_technology.pdf,ok,CsBr;CsI;FAI;MABr;MACl;MAI;PbBr2;PbCl2;PbI2,2-ME;DMF;DMSO;GBL;NMP,0.06 M;0.14 M;0.20 M;1.09 M;1.15 M;1.3 M;1.4 M;1.5 M;2 M,1 : 1;3 : 1;3 : 7;3:10;4 : 1;v/v
,[],[],,,[],,,,high,Text discusses 2D van der Waals heterostructures and chalcogenides - no perovskite ink formulation present,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41586-019-1013-x_Van_der_Waals_integration_before_and_beyond_two-dimensional_materials.pdf,ok,,,1 M,
FAPbI3,"['PbI2', 'FAI']","['DMF', 'DMSO']",4:1,1.5,"['3APX', 'MACl']",,,,high,"3APX additives (X = I, Br, Cl) added at 0-8 mol%; MACl added as 34.4 mg; solution was filtered before use",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2023_10.1038s41467-023-36229-1_One-stone-for-two-birds_strategy_to_attain_beyond_25_perovskite_solar_cells.pdf,ok,FAI;MACl;PEAI;PbI2,DMF;DMSO;IPA;ethanol,1.5 M;20 mM,1.5:100;1:1;4:1
FA0.85MA0.15PbI2.85Br0.15,"['PbI2', 'PbBr2', 'MABr', 'FAI']","['DMF', 'DMSO']",4:1,1.15,['KI'],,,,high,KI added as separate 1.5M solution to main precursor solution; molarity based on PbI2 concentration,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2017_10.1038s41598-017-12436-x_Hysteresis-free_perovskite_solar_cells_made_of_potassium-doped_organometal_halide_perovskite.pdf,ok,FAI;MABr;PbBr2;PbI2,DMF;DMSO;acetonitrile;methanol,0.1 M;0.20 M;1.09 M;1.15 M;1.5 M,4:1
FA0.83MA0.17PbI2.83Br0.17,"['FAI', 'PbI2', 'MABr']",,,,[],,,,low,"Text is truncated mid-sentence, individual precursor concentrations given (FAI 1M, PbI2 1.1M, MABr 0.2M) but no solvent information provided",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2015_10.1039c5ee02608c_Highly_efficient_planar_perovskite_solar_cells_through_band_alignment_engineering.pdf,ok,FAI;MABr;PbI2,,0.2 M;1 M;1.1 M,
MAPbI3,"['MAI', 'PbI2']","['2-ME', 'DMSO']",98.5:1.5,1,[],,,,high,2-ME is 2-methoxyethanol; DMSO is 1.5% v/v additive to main 2-ME solvent,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2022_10.26599nre.2022.9120004_Self-assembled_monolayer_enabling_improved_buried_interfaces_in_blade-coated_perovskite_solar_cells_for_high_e.pdf,ok,MAI;PbI2,2-ME;DMF;DMSO;IPA;ethanol,1 M;15 mm,v/v
,,,,,,,,,,,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2022_10.1038s41578-022-00460-x_End-to-end_design_of_wearable_sensors.pdf,error: Expecting value: line 1 column 1 (char 0),,,,
MAPbI3,"['PbI2', 'MAI']","['2-ME', 'DMSO']",,1,[],,,,high,DMSO content varied from 11.77 to 58.88 mol% as additive to 2-ME base solvent; 2-ME = 2-methoxy ethanol,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.21203rs.3.rs-93765v1_20.8_slot-die_coated_MAPbI3_perovskite_solar_cells_by_optimal_DMSO-content_and_age_of_2-ME_based_precursor_inks.pdf,ok,MAI;PbI2,2-ME;DMSO;ethanol,1M;2.4 M,
,[],[],,,[],,,,low,"Text discusses OLED complexes and phosphors, not perovskite materials",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2014_10.1039c3cs60449g_Recent_progress_in_metalorganic_complexes_for_optoelectronic_applications.pdf,ok,,,,3:10
,[],[],,,[],,,,high,"Text describes BBL:PEI conducting polymer ink, not perovskite materials",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1038s41467-021-22528-y_A_high-conductivity_n-type_polymeric_ink_for_printed_electronics.pdf,ok,,ethanol,,12:2354
,,,,,,,,,,,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1007s42452-019-0592-3_Metal_oxide_nanoparticles_and_their_applications_in_nanotechnology.pdf,error: Expecting value: line 1 column 1 (char 0),,,,
,[],[],,,[],,,,high,"Text discusses COF (Covalent Organic Framework) chemistry and synthetic polymers, contains no perovskite ink formulation information",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1039d0cs00620c_Covalent_organic_frameworks_an_ideal_platform_for_designing_ordered_materials_and_advanced_applications.pdf,ok,,ethanol,,3:10
PEA2(FAPbBr3)n-1PbBr4,"['PEABr', 'FABr', 'PbBr2']",['DMSO'],,0.6,[],,,,high,"Quasi-2D perovskite with variable n value (2-6), molarity based on Pb2+ concentration",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-02978-7_Efficient_green_light-emitting_diodes_based_on_quasi-two-dimensional_composition_and_phase_engineered_perovsk.pdf,ok,FABr;PEABr;PbBr2,DMSO;isopropanol,0.6 mol l-1,9:570
MA0.15FA0.79Cs0.06Pb(I0.85Br0.15)3,"['PbI2', 'FAI', 'MABr', 'PbBr2', 'CsI']","['DMF', 'DMSO']",4:1,1.2,[],,,,high,PbI2 concentration given as 1.2 M; CsI added as 5 vol% of 1.5 M stock solution in DMSO,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1039c8ee02751j_Lattice_strain_causes_non-radiative_losses_in_halide_perovskites.pdf,ok,CsI;FAI;MABr;MAI;PbBr2;PbI2,DMF;DMSO,0.21 M;1 mm;1.11 M;1.2 M;1.5 M,3 : 1;4 : 1
FA0.75MA0.25SnI3,"['SnI2', 'FAI', 'MAI', 'SnF2']",['DMSO'],,0.9,['TM-DHP'],45,30min + 15min + 15min,0.45,high,TM-DHP added at 1.0 mol% for SnI2; SnF2 at 10 mol%; solution stirred at 45°C in multiple stages,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1038s41467-020-16726-3_SnIV-free_tin_perovskite_films_realized_by_in_situ_Sn0_nanoparticle_treatment_of_the_precursor_solution.pdf,ok,FAI;MAI;SnI2,DMF;DMSO;ethanol,0.9 M,11:3008
FAPbI3,"['FAI', 'MABr', 'PbBr2', 'PbI2']","['DMF', 'DMSO']",4:1,,['MACl'],,,,medium,Text describes multiple formulations; extracted main multi-cation system mentioned first. Concentration given as 1.139 mg/mL FAPbI3 but cannot convert without molecular weight.,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1039d1ta06556d_A_synopsis_of_progressive_transition_in_precursor_inks_development_for_metal_halide_perovskites-based_photovoltaic_te.pdf,ok,CsI;FAI;MABr;MACl;MAI;PbBr2;PbI2;SnI2,DMF;DMSO;GBL;IPA,0.05 M;0.07 M;0.12 M;0.23 M;1.3 M;10 mM,3:10;4 : 1;9 : 1;v/v
,[],[],,,[],,,,high,"Text describes PDMS-CNT pressure sensor fabrication, no perovskite materials present",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2022_10.1038s41467-022-29093-y_Highly_stable_flexible_pressure_sensors_with_a_quasi-homogeneous_composition_and_interlinked_interfaces.pdf,ok,,,,10:1
CsPbBr3,"['CsBr', 'PbBr2']",['DMSO'],,,['PEABr'],80,2h,,high,0.2 mmol each of CsBr and PbBr2 used; PEABr added as additive at variable amounts (x% molar ratio); crown ether mentioned at 3.5 mg/mL but text appears cut off,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-06425-5_Solution-processed_perovskite_light_emitting_diodes_with_efficiency_exceeding_15_through_additive-controlled_.pdf,ok,CsBr;PEABr;PbBr2,DMSO;ethanol,,1:1
MAPbI3,"['PbI2', 'MAI', 'ammonium valeric acid iodide']",['GBL'],,1.2,['ammonium valeric acid iodide'],,,,high,0.06 mole ammonium valeric acid iodide appears to be an additive to the base MAPbI3 formulation,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1039d0ma00077a_Inkjet_printed_mesoscopic_perovskite_solar_cells_with_custom_design_capability.pdf,ok,PbI2,GBL;isopropanol,200 mm;3.5 mm,1:03;3:11
,[],[],,,[],,,,low,Text discusses chiral perovskite photodetectors but contains no ink formulation details,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1038s41578-020-0181-5_Chiral-perovskite_optoelectronics.pdf,ok,,,,
MAPbI3,"['PbI2', 'MAI']",['DMF'],,0.8,['FPMAI'],,,,medium,"Multiple concentrations mentioned (0.8M, 0.2M, 0.04M); extracted main dense precursor concentration. FPMAI appears to be an additive, not core precursor",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1038s41467-020-20433-4_Large-area_and_efficient_perovskite_light-emitting_diodes_via_low-temperature_blade-coating.pdf,ok,MAI;PbI2,DMF,0.04 M;0.2 M;0.8 M,12:147
,[],[],,,[],,,,high,"Text describes quantum dot (QD) patterning with ligand crosslinkers, not perovskite ink formulations",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1038s41467-020-16652-4_High-resolution_patterning_of_colloidal_quantum_dots_via_non-destructive_light-driven_ligand_crosslinking.pdf,ok,,,,11:2874
FAPbI3,"['PbI2', 'FAI', 'MABr', 'MACl']","['DMF', 'DMSO']",4:1,1.4,"['MABr', 'MACl']",50,30min,,high,Two-step sequential deposition method; MABr and MACl appear to be additives for film formation rather than part of final perovskite structure,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-04029-7_Perovskite_seeding_growth_of_formamidinium-lead-iodide-based_perovskites_for_efficient_and_stable_solar_cells.pdf,ok,FAI;MABr;MACl;PbI2,DMF;DMSO;IPA,1.4 M,4:1
CsPbI3,"['CsI', 'PbI2']","['DMF', 'DMSO']",4:1,0.8,[],,,,high,CsI and PbI2 in 1:1 molar ratio dissolved in DMF:DMSO,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-04636-4_Solvent-controlled_growth_of_inorganic_perovskite_films_in_dry_environment_for_efficient_and_stable_solar_cel.pdf,ok,CsBr;CsI;PbBr2;PbI2,DMF;DMSO;isopropanol,0.15 M;0.4 M;0.8 M;0.85 M,1:1;4:1;9:2225;v/v
,"['MABr', 'CsI', 'MAI']",['DMF'],,,[],,,,low,"Text discusses FAMACs perovskite inks and aging effects with additive restoration, but lacks specific formulation details. Only mentions DMF-based inks and precursor additions to aged ink.",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1021acsenergylett.8b00305_Degradation_of_Highly_Alloyed_Metal_Halide_Perovskite_Precursor_Inks_Mechanism_and_Storage_Solutions.pdf,ok,CsI;FAI;MABr;MAI;PbBr2;PbI2,DMF;DMSO,,
,[],[],,,[],,,,low,Text mentions organometal halide perovskites for PVs and high-throughput synthesis but contains no specific ink formulation details,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41578-018-0005-z_Accelerating_the_discovery_of_materials_for_clean_energy_in_the_era_of_smart_automation.pdf,ok,,,,
,"['PbBr2', 'CsBr', 'MABr', 'PEABr', 'IPABr']",['DMSO'],,,[],,2h,,medium,"Specific quantities and ratios of precursors not provided, appears to be quasi-2D perovskite with mixed organic cations",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-05909-8_Color-stable_highly_luminescent_sky-blue_perovskite_light-emitting_diodes.pdf,ok,CsBr;MABr;PEABr;PbBr2,DMSO;IPA,0.5 M,
,,['ACN'],,1.5,['HCl'],,,,low,"Text mentions ACN-based inks with 1.5M concentration and HCl additions at 20 μL/mL, but perovskite composition and precursors not specified",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1039c9ra06631d_Acetonitrile_based_single_step_slot-die_compatible_perovskite_ink_for_flexible_photovoltaics.pdf,ok,,ACN;DMF;DMSO;NMP;acetonitrile,1 M;1.5 M;2 mm;5 mm,3:11
MAPbBr3,"['MABr', 'PbBr2']",['DMF'],,1,[],110,overnight,,high,Multiple perovskite crystals described; extracted MAPbBr3 as the first complete formulation with clear synthesis details,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2016_10.1038srep37254_X-ray_Scintillation_in_Lead_Halide_Perovskite_Crystals.pdf,ok,MABr;MAI;PbBr2;PbCl2;PbI2,DMF;DMSO;ethanol;methanol,1 M,1:1
,[],[],,,[],,,,high,"Text is about metasurfaces and metamaterials, contains no perovskite ink formulation information",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.3389fphy.2020.586087_A_Review_on_Metasurface_From_Principle_to_Smart_Metadevices.pdf,ok,,,,
CsPbI3,"['CsI', 'PbI2']","['DMF', 'DMSO']",1:1,0.8,['PVP'],90,1h,,high,"PVP was first dissolved in solvents, then perovskite precursors added to this solution",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-03169-0_Surface_passivation_engineering_strategy_to_fully-inorganic_cubic_CsPbI3_perovskites_for_high-performance_sol.pdf,ok,CsI;PbI2,DMF;DMSO,0.8 M,1:1;9:1076
Cs0.8Pb(I0.8Br0.2)3,"['PbI2', 'CsI', 'CsBr']","['DMF', 'DMSO']",,,[],,,,medium,"Text cuts off mid-sentence. Inferred perovskite formula from stoichiometry: 1.0 mmol PbI2, 0.8 mmol CsI, 0.2 mmol CsBr. Missing CsI amount and solution concentration details.",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1038s41467-019-13909-5_Highly_efficient_all-inorganic_perovskite_solar_cells_with_suppressed_non-radiative_recombination_by_a_Lewis_.pdf,ok,CsBr;CsI;PbI2,DMF;DMSO,,
MAPbI3,"['PbI2', 'MAI']",['DMF'],,1,"['MHP', 'F4TCNQ', 'MACl']",,,,high,"MHP (0.075-0.300 wt%), F4TCNQ (0.01-0.05 wt%), MACl (0.5 wt%) used as additives; F4TCNQ dissolved separately in DMF then added",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-04028-8_Molecular_doping_enabled_scalable_blading_of_efficient_hole-transport-layer-free_perovskite_solar_cells.pdf,ok,MACl;MAI;PbI2,DMF;DMSO;acetonitrile;isopropanol,1 M,
MAPbI3,"['CH3NH3I', 'PbCl2']",['DMF'],,,['PEG'],60,12h,,medium,Concentration given as 430/250 mg/ml but unclear which refers to which precursor; PEG added as additive at 40 mg/ml,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2016_10.1038ncomms10228_A_polymer_scaffold_for_self-healing_perovskite_solar_cells.pdf,ok,MAI;PbCl2;PbI2,DMSO;ethanol;methanol,,1:1;1:20;3:1;7:10228
Cs3Bi2I9,"['CsI', 'BiI3']","['DMF', 'DMSO']",7:3,0.6,[],,24h,0.8,high,"Room temperature mixing for 24h, then heated to 80°C for crystal growth",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1038s41467-020-16034-w_Nucleation-controlled_growth_of_superior_lead-free_perovskite_Cs3Bi2I9_single-crystals_for_high-performance_X.pdf,ok,CsI,DMF;DMSO,0.6 M,3:2;7:3
(R- or S-α-PEA)PbI3,"['(R-α-PEA)PbI3 single crystal', '(S-α-PEA)PbI3 single crystal']",['DMF'],,0.3,[],,,,high,Chiral perovskite using pre-synthesized single crystal as precursor; racemic version made by 1:1 mixing of R and S variants,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-09942-z_Circularly_polarized_light_detection_using_chiral_hybrid_perovskite.pdf,ok,FABr;PbI2,DMF;ethanol,0.3 mol L-1;1 mm,1:1
CsPbI3,"['HPbI3+x', 'CsI']","['DMF', 'DMSO']",9:1,,['PEAI'],,24h,,high,HPbI3+x is an unusual precursor notation; PEAI added as 100 mg/ml in DMF solution,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-06915-6_All-inorganic_cesium_lead_iodide_perovskite_solar_cells_with_stabilized_efficiency_beyond_15.pdf,ok,CsI;PEAI,DMF;DMSO;acetonitrile,,9:1;9:4544;v/v
(PEA)0.2(FA)0.8SnI3,"['PEAI', 'FAI', 'SnI2', 'SnF2']","['DMF', 'DMSO']",4:1,0.8,[],70,1h,0.2,high,Tin-based perovskite with 2D spacer cation PEA; molar ratio PEAI:FAI:SnI2:SnF2 = 0.2:0.8:1:0.1,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1038s41467-021-22864-z_Degradation_mechanism_of_hybrid_tin-based_perovskite_solar_cells_and_the_critical_role_of_tin_IV_iodide.pdf,ok,FAI;PEAI;SnI2,DMF;DMSO;ethanol;isopropanol,0.8 M,0.2:0.8;12:2853;1: 1000;1: 4;1:0.1;2: 5000;4:1;v/v
