title,year,doi,openalex_id,cited_by,is_oa,pdf_url,landing_url,venue,pipeline_stage_reached
Strain engineering in perovskite solar cells and its impacts on carrier dynamics,2019,10.1038/s41467-019-08507-4,https://openalex.org/W2912153941,974,True,https://www.nature.com/articles/s41467-019-08507-4.pdf,https://doi.org/10.1038/s41467-019-08507-4,Nature Communications,pdf_downloaded
Machine learning in materials science,2019,10.1002/inf2.12028,https://openalex.org/W2972418846,944,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/inf2.12028,https://doi.org/10.1002/inf2.12028,InfoMat,candidate
Highly Reproducible Sn‐Based Hybrid Perovskite Solar Cells with 9% Efficiency,2017,10.1002/aenm.201702019,https://openalex.org/W2760629443,883,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.201702019,https://doi.org/10.1002/aenm.201702019,Advanced Energy Materials,candidate
Ultra-bright and highly efficient inorganic based perovskite light-emitting diodes,2017,10.1038/ncomms15640,https://openalex.org/W2623955189,843,True,https://www.nature.com/articles/ncomms15640.pdf,https://doi.org/10.1038/ncomms15640,Nature Communications,pdf_downloaded
Chiral-perovskite optoelectronics,2020,10.1038/s41578-020-0181-5,https://openalex.org/W3011088795,821,True,https://www.nature.com/articles/s41578-020-0181-5.pdf,https://doi.org/10.1038/s41578-020-0181-5,Nature Reviews Materials,pdf_downloaded
Universal passivation strategy to slot-die printed SnO2 for hysteresis-free efficient flexible perovskite solar module,2018,10.1038/s41467-018-07099-9,https://openalex.org/W2898941509,804,True,https://www.nature.com/articles/s41467-018-07099-9.pdf,https://doi.org/10.1038/s41467-018-07099-9,Nature Communications,pdf_downloaded
Accelerating the discovery of materials for clean energy in the era of smart automation,2018,10.1038/s41578-018-0005-z,https://openalex.org/W2799915630,745,True,https://www.nature.com/articles/s41578-018-0005-z.pdf,https://doi.org/10.1038/s41578-018-0005-z,Nature Reviews Materials,pdf_downloaded
"Indoor Air Pollution, Related Human Diseases, and Recent Trends in the Control and Improvement of Indoor Air Quality",2020,10.3390/ijerph17082927,https://openalex.org/W3020484714,736,True,https://www.mdpi.com/1660-4601/17/8/2927/pdf?version=1587738024,https://doi.org/10.3390/ijerph17082927,International Journal of Environmental Research and Public Health,candidate
Color-stable highly luminescent sky-blue perovskite light-emitting diodes,2018,10.1038/s41467-018-05909-8,https://openalex.org/W2888115472,711,True,https://www.nature.com/articles/s41467-018-05909-8.pdf,https://doi.org/10.1038/s41467-018-05909-8,Nature Communications,pdf_downloaded
"Recycling of Lithium‐Ion Batteries—Current State of the Art, Circular Economy, and Next Generation Recycling",2022,10.1002/aenm.202102917,https://openalex.org/W4205771230,690,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202102917,https://doi.org/10.1002/aenm.202102917,Advanced Energy Materials,candidate
Reduced graphene oxide today,2019,10.1039/c9tc04916a,https://openalex.org/W2997981563,669,True,https://pubs.rsc.org/en/content/articlepdf/2020/tc/c9tc04916a,https://doi.org/10.1039/c9tc04916a,Journal of Materials Chemistry C,candidate
Electrode Materials for Supercapacitors: A Review of Recent Advances,2020,10.3390/catal10090969,https://openalex.org/W3082954565,658,True,https://www.mdpi.com/2073-4344/10/9/969/pdf?version=1598493922,https://doi.org/10.3390/catal10090969,Catalysts,candidate
A polymer scaffold for self-healing perovskite solar cells,2016,10.1038/ncomms10228,https://openalex.org/W2397919288,658,True,https://www.nature.com/articles/ncomms10228.pdf,https://doi.org/10.1038/ncomms10228,Nature Communications,pdf_downloaded
Surface passivation engineering strategy to fully-inorganic cubic CsPbI3 perovskites for high-performance solar cells,2018,10.1038/s41467-018-03169-0,https://openalex.org/W2789697021,656,True,https://www.nature.com/articles/s41467-018-03169-0.pdf,https://doi.org/10.1038/s41467-018-03169-0,Nature Communications,pdf_downloaded
A Review on Metasurface: From Principle to Smart Metadevices,2021,10.3389/fphy.2020.586087,https://openalex.org/W3128209717,645,True,https://www.frontiersin.org/articles/10.3389/fphy.2020.586087/pdf,https://doi.org/10.3389/fphy.2020.586087,Frontiers in Physics,pdf_downloaded
Highly efficient all-inorganic perovskite solar cells with suppressed non-radiative recombination by a Lewis base,2020,10.1038/s41467-019-13909-5,https://openalex.org/W2999691245,632,True,https://www.nature.com/articles/s41467-019-13909-5.pdf,https://doi.org/10.1038/s41467-019-13909-5,Nature Communications,pdf_downloaded
Solvent-controlled growth of inorganic perovskite films in dry environment for efficient and stable solar cells,2018,10.1038/s41467-018-04636-4,https://openalex.org/W2806673750,628,True,https://www.nature.com/articles/s41467-018-04636-4.pdf,https://doi.org/10.1038/s41467-018-04636-4,Nature Communications,pdf_downloaded
A molecular nematic liquid crystalline material for high-performance organic photovoltaics,2015,10.1038/ncomms7013,https://openalex.org/W2085915663,617,True,https://www.nature.com/articles/ncomms7013.pdf,https://doi.org/10.1038/ncomms7013,Nature Communications,pdf_downloaded
Progress in understanding structure and transport properties of PEDOT-based materials: A critical review,2019,10.1016/j.pmatsci.2019.100616,https://openalex.org/W2984074512,617,True,https://www.sciencedirect.com/science/article/am/pii/S0079642519300982?via%3Dihub,https://doi.org/10.1016/j.pmatsci.2019.100616,Progress in Materials Science,candidate
Flexible Perovskite Photovoltaic Modules and Solar Cells Based on Atomic Layer Deposited Compact Layers and UV‐Irradiated TiO<sub>2</sub> Scaffolds on Plastic Substrates,2015,10.1002/aenm.201401808,https://openalex.org/W2150690597,586,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.201401808,https://doi.org/10.1002/aenm.201401808,Advanced Energy Materials,candidate
"Preparations, Properties, and Applications of Polyaniline and Polyaniline Thin Films—A Review",2021,10.3390/polym13122003,https://openalex.org/W3175137827,581,True,https://www.mdpi.com/2073-4360/13/12/2003/pdf?version=1624351148,https://doi.org/10.3390/polym13122003,Polymers,candidate
Perovskite-polymer composite cross-linker approach for highly-stable and efficient perovskite solar cells,2019,10.1038/s41467-019-08455-z,https://openalex.org/W2914692117,562,True,https://www.nature.com/articles/s41467-019-08455-z.pdf,https://doi.org/10.1038/s41467-019-08455-z,Nature Communications,pdf_downloaded
Modulation of recombination zone position for quasi-two-dimensional blue perovskite light-emitting diodes with efficiency exceeding 5%,2019,10.1038/s41467-019-09011-5,https://openalex.org/W2919782722,558,True,https://www.nature.com/articles/s41467-019-09011-5.pdf,https://doi.org/10.1038/s41467-019-09011-5,Nature Communications,pdf_downloaded
Recent advances in organic light-emitting diodes: toward smart lighting and displays,2019,10.1039/c9qm00716d,https://openalex.org/W2996329972,556,True,https://pubs.rsc.org/en/content/articlepdf/2020/qm/c9qm00716d,https://doi.org/10.1039/c9qm00716d,Materials Chemistry Frontiers,pdf_downloaded
Circularly polarized light detection using chiral hybrid perovskite,2019,10.1038/s41467-019-09942-z,https://openalex.org/W2941942848,552,True,https://www.nature.com/articles/s41467-019-09942-z.pdf,https://doi.org/10.1038/s41467-019-09942-z,Nature Communications,pdf_downloaded
Types of Solar Cells and Application,2015,10.11648/j.ajop.20150305.17,https://openalex.org/W1529571442,548,True,http://article.sciencepublishinggroup.com/pdf/10.11648.j.ajop.20150305.17.pdf,https://doi.org/10.11648/j.ajop.20150305.17,American Journal of Optics and Photonics,pdf_downloaded
Metal halide perovskite light emitters,2016,10.1073/pnas.1607471113,https://openalex.org/W2525292295,538,True,https://www.pnas.org/content/pnas/113/42/11694.full.pdf,https://doi.org/10.1073/pnas.1607471113,Proceedings of the National Academy of Sciences,pdf_downloaded
Recent Progress on Piezoelectric and Triboelectric Energy Harvesters in Biomedical Systems,2017,10.1002/advs.201700029,https://openalex.org/W2603913268,537,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.201700029,https://doi.org/10.1002/advs.201700029,Advanced Science,candidate
Facile fabrication of large-grain CH3NH3PbI3−xBrx films for high-efficiency solar cells via CH3NH3Br-selective Ostwald ripening,2016,10.1038/ncomms12305,https://openalex.org/W2478184717,526,True,https://www.nature.com/articles/ncomms12305.pdf,https://doi.org/10.1038/ncomms12305,Nature Communications,pdf_downloaded
New frontiers for the materials genome initiative,2019,10.1038/s41524-019-0173-4,https://openalex.org/W2929465105,525,True,https://www.nature.com/articles/s41524-019-0173-4.pdf,https://doi.org/10.1038/s41524-019-0173-4,npj Computational Materials,pdf_downloaded
Defects engineering for high-performance perovskite solar cells,2018,10.1038/s41528-018-0035-z,https://openalex.org/W2883938439,518,True,https://www.nature.com/articles/s41528-018-0035-z.pdf,https://doi.org/10.1038/s41528-018-0035-z,npj Flexible Electronics,pdf_downloaded
Large guanidinium cation mixed with methylammonium in lead iodide perovskites for 19% efficient solar cells,2017,10.1038/s41560-017-0054-3,https://openalex.org/W2771319237,515,True,https://www.nature.com/articles/s41560-017-0054-3.pdf,https://doi.org/10.1038/s41560-017-0054-3,Nature Energy,pdf_downloaded
"Zinc Anode for Mild Aqueous Zinc-Ion Batteries: Challenges, Strategies, and Perspectives",2022,10.1007/s40820-021-00782-5,https://openalex.org/W4206321081,510,True,https://link.springer.com/content/pdf/10.1007/s40820-021-00782-5.pdf,https://doi.org/10.1007/s40820-021-00782-5,Nano-Micro Letters,pdf_downloaded
"Synthesis, optoelectronic properties and applications of halide perovskites",2020,10.1039/c9cs00848a,https://openalex.org/W3020144358,506,True,https://pubs.rsc.org/en/content/articlepdf/2020/cs/c9cs00848a,https://doi.org/10.1039/c9cs00848a,Chemical Society Reviews,candidate
Dye-sensitized solar cells strike back,2021,10.1039/d0cs01336f,https://openalex.org/W3203019058,499,True,https://pubs.rsc.org/en/content/articlepdf/2021/cs/d0cs01336f,https://doi.org/10.1039/d0cs01336f,Chemical Society Reviews,pdf_downloaded
Conversion of invisible metal-organic frameworks to luminescent perovskite nanocrystals for confidential information encryption and decryption,2017,10.1038/s41467-017-01248-2,https://openalex.org/W2766836967,499,True,https://www.nature.com/articles/s41467-017-01248-2.pdf,https://doi.org/10.1038/s41467-017-01248-2,Nature Communications,pdf_downloaded
Piezoelectric Nano‐Biomaterials for Biomedicine and Tissue Regeneration,2020,10.1002/adfm.201909045,https://openalex.org/W3008594216,497,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.201909045,https://doi.org/10.1002/adfm.201909045,Advanced Functional Materials,candidate
Nucleation-controlled growth of superior lead-free perovskite Cs3Bi2I9 single-crystals for high-performance X-ray detection,2020,10.1038/s41467-020-16034-w,https://openalex.org/W3022329226,495,True,https://www.nature.com/articles/s41467-020-16034-w.pdf,https://doi.org/10.1038/s41467-020-16034-w,Nature Communications,pdf_downloaded
Monolithic Perovskite Tandem Solar Cells: A Review of the Present Status and Advanced Characterization Methods Toward 30% Efficiency,2020,10.1002/aenm.201904102,https://openalex.org/W3023269376,492,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.201904102,https://doi.org/10.1002/aenm.201904102,Advanced Energy Materials,candidate
Trifluoroacetate induced small-grained CsPbBr3 perovskite films result in efficient and stable light-emitting devices,2019,10.1038/s41467-019-08425-5,https://openalex.org/W2914440772,488,True,https://www.nature.com/articles/s41467-019-08425-5.pdf,https://doi.org/10.1038/s41467-019-08425-5,Nature Communications,pdf_downloaded
Advances in flexible organic field-effect transistors and their applications for flexible electronics,2022,10.1038/s41528-022-00133-3,https://openalex.org/W4205740463,486,True,https://www.nature.com/articles/s41528-022-00133-3.pdf,https://doi.org/10.1038/s41528-022-00133-3,npj Flexible Electronics,pdf_downloaded
Mixed‐Organic‐Cation Tin Iodide for Lead‐Free Perovskite Solar Cells with an Efficiency of 8.12%,2017,10.1002/advs.201700204,https://openalex.org/W2734778715,486,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.201700204,https://doi.org/10.1002/advs.201700204,Advanced Science,candidate
Lattice strain causes non-radiative losses in halide perovskites,2019,10.1039/c8ee02751j,https://openalex.org/W2911095050,486,True,https://pubs.rsc.org/en/content/articlepdf/2019/ee/c8ee02751j,https://doi.org/10.1039/c8ee02751j,Energy & Environmental Science,pdf_downloaded
All-inorganic cesium lead iodide perovskite solar cells with stabilized efficiency beyond 15%,2018,10.1038/s41467-018-06915-6,https://openalex.org/W2898318364,486,True,https://www.nature.com/articles/s41467-018-06915-6.pdf,https://doi.org/10.1038/s41467-018-06915-6,Nature Communications,pdf_downloaded
"The versatile biomedical applications of bismuth-based nanoparticles and composites: therapeutic, diagnostic, biosensing, and regenerative properties",2020,10.1039/c9cs00283a,https://openalex.org/W3003821136,483,True,https://pubs.rsc.org/en/content/articlepdf/2020/cs/c9cs00283a,https://doi.org/10.1039/c9cs00283a,Chemical Society Reviews,pdf_downloaded
Solution-processed perovskite light emitting diodes with efficiency exceeding 15% through additive-controlled nanostructure tailoring,2018,10.1038/s41467-018-06425-5,https://openalex.org/W2891879216,482,True,https://www.nature.com/articles/s41467-018-06425-5.pdf,https://doi.org/10.1038/s41467-018-06425-5,Nature Communications,pdf_downloaded
"Colloidal lead halide perovskite nanocrystals: synthesis, optical properties and applications",2016,10.1038/am.2016.167,https://openalex.org/W2555716431,479,True,https://www.nature.com/articles/am2016167.pdf,https://doi.org/10.1038/am.2016.167,NPG Asia Materials,pdf_downloaded
High-performance quasi-2D perovskite light-emitting diodes: from materials to devices,2021,10.1038/s41377-021-00501-0,https://openalex.org/W3138583285,477,True,https://www.nature.com/articles/s41377-021-00501-0.pdf,https://doi.org/10.1038/s41377-021-00501-0,Light Science & Applications,pdf_downloaded
Recent Progresses in Electrocatalysts for Water Electrolysis,2018,10.1007/s41918-018-0014-z,https://openalex.org/W2883757223,475,True,https://link.springer.com/content/pdf/10.1007/s41918-018-0014-z.pdf,https://doi.org/10.1007/s41918-018-0014-z,Electrochemical Energy Reviews,pdf_downloaded
Spectra stable blue perovskite light-emitting diodes,2019,10.1038/s41467-019-09794-7,https://openalex.org/W2940595295,471,True,https://www.nature.com/articles/s41467-019-09794-7.pdf,https://doi.org/10.1038/s41467-019-09794-7,Nature Communications,pdf_downloaded
Interfacial Materials for Organic Solar Cells: Recent Advances and Perspectives,2016,10.1002/advs.201500362,https://openalex.org/W2281370366,463,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.201500362,https://doi.org/10.1002/advs.201500362,Advanced Science,candidate
Mixed halide perovskites for spectrally stable and high-efficiency blue light-emitting diodes,2021,10.1038/s41467-020-20582-6,https://openalex.org/W3120423813,460,True,https://www.nature.com/articles/s41467-020-20582-6.pdf,https://doi.org/10.1038/s41467-020-20582-6,Nature Communications,pdf_downloaded
Impact of H<sub>2</sub>O on organic–inorganic hybrid perovskite solar cells,2017,10.1039/c7ee01674c,https://openalex.org/W2758692133,459,True,https://pubs.rsc.org/en/content/articlepdf/2017/ee/c7ee01674c,https://doi.org/10.1039/c7ee01674c,Energy & Environmental Science,pdf_downloaded
The rise of self-driving labs in chemical and materials sciences,2023,10.1038/s44160-022-00231-0,https://openalex.org/W4318486595,457,True,https://www.nature.com/articles/s44160-022-00231-0.pdf,https://doi.org/10.1038/s44160-022-00231-0,Nature Synthesis,pdf_downloaded
Emerging electrochemical energy conversion and storage technologies,2014,10.3389/fchem.2014.00079,https://openalex.org/W2161867954,456,True,https://www.frontiersin.org/articles/10.3389/fchem.2014.00079/pdf,https://doi.org/10.3389/fchem.2014.00079,Frontiers in Chemistry,pdf_downloaded
Aqueous dye-sensitized solar cells,2015,10.1039/c4cs00456f,https://openalex.org/W2163203770,453,True,https://pubs.rsc.org/en/content/articlepdf/2015/cs/c4cs00456f,https://doi.org/10.1039/c4cs00456f,Chemical Society Reviews,pdf_downloaded
Degradation mechanism of hybrid tin-based perovskite solar cells and the critical role of tin (IV) iodide,2021,10.1038/s41467-021-22864-z,https://openalex.org/W3160621054,453,True,https://www.nature.com/articles/s41467-021-22864-z.pdf,https://doi.org/10.1038/s41467-021-22864-z,Nature Communications,pdf_downloaded
Status and perspectives of key materials for PEM electrolyzer,2022,10.26599/nre.2022.9120032,https://openalex.org/W4295011639,440,True,https://www.sciopen.com/article_pdf/1567427372770799617.pdf,https://doi.org/10.26599/nre.2022.9120032,Nano Research Energy,pdf_downloaded
Recent Progress on the Long‐Term Stability of Perovskite Solar Cells,2018,10.1002/advs.201700387,https://openalex.org/W2790911031,438,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.201700387,https://doi.org/10.1002/advs.201700387,Advanced Science,candidate
Semiconducting Metal Oxide Based Sensors for Selective Gas Pollutant Detection,2009,10.3390/s91008158,https://openalex.org/W2128742521,435,True,https://www.mdpi.com/1424-8220/9/10/8158/pdf?version=1403311813,https://doi.org/10.3390/s91008158,Sensors,candidate
Lead halide perovskites for photocatalytic organic synthesis,2019,10.1038/s41467-019-10634-x,https://openalex.org/W2955361498,433,True,https://www.nature.com/articles/s41467-019-10634-x.pdf,https://doi.org/10.1038/s41467-019-10634-x,Nature Communications,pdf_downloaded
Advanced Materials for Use in Soft Self‐Healing Devices,2017,10.1002/adma.201604973,https://openalex.org/W2590494583,428,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.201604973,https://doi.org/10.1002/adma.201604973,Advanced Materials,candidate
Graphene Oxide and Derivatives: The Place in Graphene Family,2019,10.3389/fphy.2018.00149,https://openalex.org/W2912008130,426,True,https://www.frontiersin.org/articles/10.3389/fphy.2018.00149/pdf,https://doi.org/10.3389/fphy.2018.00149,Frontiers in Physics,pdf_downloaded
The 2020 photovoltaic technologies roadmap,2020,10.1088/1361-6463/ab9c6a,https://openalex.org/W3034837531,421,True,https://iopscience.iop.org/article/10.1088/1361-6463/ab9c6a/pdf,https://doi.org/10.1088/1361-6463/ab9c6a,Journal of Physics D Applied Physics,pdf_downloaded
A general approach to high-efficiency perovskite solar cells by any antisolvent,2021,10.1038/s41467-021-22049-8,https://openalex.org/W3129036993,417,True,https://www.nature.com/articles/s41467-021-22049-8.pdf,https://doi.org/10.1038/s41467-021-22049-8,Nature Communications,pdf_downloaded
"Progress, challenges and perspectives in flexible perovskite solar cells",2016,10.1039/c6ee01137c,https://openalex.org/W2516530664,417,True,https://pubs.rsc.org/en/content/articlepdf/2016/ee/c6ee01137c,https://doi.org/10.1039/c6ee01137c,Energy & Environmental Science,pdf_downloaded
Smoothing the energy transfer pathway in quasi-2D perovskite films using methanesulfonate leads to highly efficient light-emitting devices,2021,10.1038/s41467-021-21522-8,https://openalex.org/W3131699578,415,True,https://www.nature.com/articles/s41467-021-21522-8.pdf,https://doi.org/10.1038/s41467-021-21522-8,Nature Communications,pdf_downloaded
Molecular doping enabled scalable blading of efficient hole-transport-layer-free perovskite solar cells,2018,10.1038/s41467-018-04028-8,https://openalex.org/W4239574994,413,True,https://www.nature.com/articles/s41467-018-04028-8.pdf,https://doi.org/10.1038/s41467-018-04028-8,Nature Communications,pdf_downloaded
A review of aerosol jet printing—a non-traditional hybrid process for micro-manufacturing,2019,10.1007/s00170-019-03438-2,https://openalex.org/W2944404756,413,True,https://link.springer.com/content/pdf/10.1007/s00170-019-03438-2.pdf,https://doi.org/10.1007/s00170-019-03438-2,The International Journal of Advanced Manufacturing Technology,pdf_downloaded
Perovskite seeding growth of formamidinium-lead-iodide-based perovskites for efficient and stable solar cells,2018,10.1038/s41467-018-04029-7,https://openalex.org/W2801523206,402,True,https://www.nature.com/articles/s41467-018-04029-7.pdf,https://doi.org/10.1038/s41467-018-04029-7,Nature Communications,pdf_downloaded
Dye Sensitized Solar Cells,2010,10.3390/ijms11031103,https://openalex.org/W3146047478,395,True,https://www.mdpi.com/1422-0067/11/3/1103/pdf?version=1403139375,https://doi.org/10.3390/ijms11031103,International Journal of Molecular Sciences,candidate
"Cellulose Nanopaper: Fabrication, Functionalization, and Applications",2022,10.1007/s40820-022-00849-x,https://openalex.org/W4223533700,393,True,https://link.springer.com/content/pdf/10.1007/s40820-022-00849-x.pdf,https://doi.org/10.1007/s40820-022-00849-x,Nano-Micro Letters,search_only
Fundamentals and comprehensive insights on pulsed laser synthesis of advanced materials for diverse photo- and electrocatalytic applications,2022,10.1038/s41377-022-00904-7,https://openalex.org/W4291285610,388,True,https://www.nature.com/articles/s41377-022-00904-7.pdf,https://doi.org/10.1038/s41377-022-00904-7,Light Science & Applications,search_only
Colloidal quantum dot lasers,2021,10.1038/s41578-020-00274-9,https://openalex.org/W3132333260,386,True,https://www.nature.com/articles/s41578-020-00274-9.pdf,https://doi.org/10.1038/s41578-020-00274-9,Nature Reviews Materials,search_only
Highly stable flexible pressure sensors with a quasi-homogeneous composition and interlinked interfaces,2022,10.1038/s41467-022-29093-y,https://openalex.org/W4221009261,382,True,https://www.nature.com/articles/s41467-022-29093-y.pdf,https://doi.org/10.1038/s41467-022-29093-y,Nature Communications,pdf_downloaded
Lead-Free Perovskite Materials for Solar Cells,2021,10.1007/s40820-020-00578-z,https://openalex.org/W3125938257,376,True,https://link.springer.com/content/pdf/10.1007/s40820-020-00578-z.pdf,https://doi.org/10.1007/s40820-020-00578-z,Nano-Micro Letters,pdf_downloaded
Advances in the Application of Perovskite Materials,2023,10.1007/s40820-023-01140-3,https://openalex.org/W4383710709,374,True,https://link.springer.com/content/pdf/10.1007/s40820-023-01140-3.pdf,https://doi.org/10.1007/s40820-023-01140-3,Nano-Micro Letters,search_only
Understanding how excess lead iodide precursor improves halide perovskite solar cell performance,2018,10.1038/s41467-018-05583-w,https://openalex.org/W2886506777,369,True,https://www.nature.com/articles/s41467-018-05583-w.pdf,https://doi.org/10.1038/s41467-018-05583-w,Nature Communications,pdf_downloaded
Stability of perovskite solar cells: issues and prospects,2023,10.1039/d2ra05903g,https://openalex.org/W4313893985,366,True,https://pubs.rsc.org/en/content/articlepdf/2023/ra/d2ra05903g,https://doi.org/10.1039/d2ra05903g,RSC Advances,pdf_downloaded
X-ray Scintillation in Lead Halide Perovskite Crystals,2016,10.1038/srep37254,https://openalex.org/W2556394029,366,True,https://www.nature.com/articles/srep37254.pdf,https://doi.org/10.1038/srep37254,Scientific Reports,pdf_downloaded
A chemically inert bismuth interlayer enhances long-term stability of inverted perovskite solar cells,2019,10.1038/s41467-019-09167-0,https://openalex.org/W2922321003,362,True,https://www.nature.com/articles/s41467-019-09167-0.pdf,https://doi.org/10.1038/s41467-019-09167-0,Nature Communications,pdf_downloaded
Biodegradable Materials and Green Processing for Green Electronics,2020,10.1002/adma.202001591,https://openalex.org/W3037572749,360,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202001591,https://doi.org/10.1002/adma.202001591,Advanced Materials,search_only
How the formation of interfacial charge causes hysteresis in perovskite solar cells,2018,10.1039/c8ee01447g,https://openalex.org/W2805286264,360,True,https://pubs.rsc.org/en/content/articlepdf/2018/ee/c8ee01447g,https://doi.org/10.1039/c8ee01447g,Energy & Environmental Science,pdf_downloaded
Advanced research trends in dye-sensitized solar cells,2021,10.1039/d1ta00690h,https://openalex.org/W3135544178,356,True,https://pubs.rsc.org/en/content/articlepdf/2021/ta/d1ta00690h,https://doi.org/10.1039/d1ta00690h,Journal of Materials Chemistry A,search_only
"Tin oxide for optoelectronic, photovoltaic and energy storage devices: a review",2021,10.1039/d1ta01291f,https://openalex.org/W3176233721,349,True,https://pubs.rsc.org/en/content/articlepdf/2021/ta/d1ta01291f,https://doi.org/10.1039/d1ta01291f,Journal of Materials Chemistry A,search_only
"Flexible Electronics: Status, Challenges and Opportunities",2020,10.3389/felec.2020.594003,https://openalex.org/W3091383201,349,True,https://www.frontiersin.org/articles/10.3389/felec.2020.594003/pdf,https://doi.org/10.3389/felec.2020.594003,Frontiers in Electronics,search_only
Interstitial Occupancy by Extrinsic Alkali Cations in Perovskites and Its Impact on Ion Migration,2018,10.1002/adma.201707350,https://openalex.org/W2799799881,344,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.201707350,https://doi.org/10.1002/adma.201707350,Advanced Materials,search_only
Review of technological design options for building integrated photovoltaics (BIPV),2020,10.1016/j.enbuild.2020.110381,https://openalex.org/W3083961595,340,True,https://www.sciencedirect.com/science/article/pii/S0378778819339155?via%3Dihub,https://doi.org/10.1016/j.enbuild.2020.110381,Energy and Buildings,search_only
Efficient sky-blue perovskite light-emitting diodes via photoluminescence enhancement,2019,10.1038/s41467-019-13580-w,https://openalex.org/W2995822675,337,True,https://www.nature.com/articles/s41467-019-13580-w.pdf,https://doi.org/10.1038/s41467-019-13580-w,Nature Communications,pdf_downloaded
Carbon‐Based Sunlight Absorbers in Solar‐Driven Steam Generation Devices,2018,10.1002/gch2.201700094,https://openalex.org/W2783924474,335,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/gch2.201700094,https://doi.org/10.1002/gch2.201700094,Global Challenges,search_only
