perovskite_formula,precursors,solvents,solvent_ratio,molarity_M,additives,mix_temp_C,stir_time,filter_um,extraction_confidence,notes,pdf_file,llm_status,regex_precursors,regex_solvents,regex_molarity,regex_ratios
CsFAMAPbI3,"['FAI', 'PbI2', 'CsI']","['DMF', 'DMSO']",4:1,1.1,[],60,2h,,high,Molarity calculated from 240.8 mg FAI + 646.8 mg PbI2 + 18.2 mg CsI in 1 mL DMF:DMSO; assumes MA from context (common triple-cation formulation); no explicit MA precursor listed but implied by CsFAMA nomenclature in similar literature,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2018_10.1038s41467-018-05760-x_High_efficiency_planar-type_perovskite_solar_cells_with_negligible_hysteresis_using_EDTA-complexed_SnO2.pdf,ok,CsI;FAI;PbI2,DMF;DMSO,,4:1;v/v
MAPbI3,"['CH3NH3I', 'PbI2']","['DMF', 'DMSO']",1:1,,['PPC'],,,,high,"Equimolar DMF:DMSO ratio stated. PPC (polymeric Lewis base) added as additive for passivation and cross-linking. Diethyl ether used as anti-solvent during spin-coating, not part of precursor ink.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2019_10.1038s41467-019-08455-z_Perovskite-polymer_composite_cross-linker_approach_for_highly-stable_and_efficient_perovskite_solar_cells.pdf,ok,PbI2,DMF;DMSO,,1:1
Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,"['CsI', 'FAI', 'MAI', 'PbI2', 'PbBr2']","['DMF', 'DMSO']",4:1,1.4,"['n-butylamine', 'phenethylamine', 'octylamine', 'oleylamine']",,,,high,"Additives listed as 0.1 wt% trace amount. Anti-solvent chlorobenzene (150 µL) used during spin-coating, not part of precursor ink dissolution.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2020_10.1038s41560-019-0538-4_Managing_grains_and_interfaces_via_ligand_anchoring_enables_22.3-efficiency_inverted_perovskite_solar_cells.pdf,ok,,DMF;DMSO;isopropanol,1.4 M,4:1
,[],[],,,[],,,,low,"Text describes BBL:PEI conducting polymer ink formulation, not a halide perovskite precursor ink. No perovskite ABX3 chemistry present.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2021_10.1038s41467-021-22528-y_A_high-conductivity_n-type_polymeric_ink_for_printed_electronics.pdf,ok,,ethanol,,12:2354
MAPbI3,"['PbI2', 'MAI']","['2-ME', 'DMSO']",,1,[],,,,medium,DMSO added as coordinating solvent at 11.77 mol% (optimal) to 58.88 mol% range; text indicates 1M MAPbI3 in 2-ME as base ink. Exact precursor masses/volumes not specified. DMSO content expressed in mol% rather than v/v ratio.,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2020_10.21203rs.3.rs-93765v1_20.8_slot-die_coated_MAPbI3_perovskite_solar_cells_by_optimal_DMSO-content_and_age_of_2-ME_based_precursor_inks.pdf,ok,MAI;PbI2,2-ME;DMSO;ethanol,1M;2.4 M,
FA0.85MA0.15Pb(I0.85Br0.15)3,"['FAI', 'PbI2', 'MABr', 'PbBr2']","['DMF', 'DMSO']",4:1,1.49,[],,,,high,"Primary molarity reported for PbI2 (1.49 M). Stoichiometry derived from molar ratios: FAI 1.38 M, PbI2 1.49 M, MABr 0.24 M, PbBr2 0.26 M. Total Pb = 1.75 M; I/Br ratio ≈ 0.85:0.15.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2019_10.1038s41467-019-08507-4_Strain_engineering_in_perovskite_solar_cells_and_its_impacts_on_carrier_dynamics.pdf,ok,CsI;FAI;MABr;PbBr2;PbI2,DMF;DMSO;acetonitrile;ethanol,0.24 M;0.26 M;1.38 M;1.49 M,10:815;4:1
FA0.75MA0.25SnI3,"['SnI2', 'FAI', 'MAI', 'SnF2']",['DMSO'],,0.9,['TM-DHP'],45,30min + 15min + 15min,0.45,high,SnF2 at 10 mol% relative to SnI2; TM-DHP added as 1.0 mol% solution in DMF (10 µL of 0.9 M) after initial stirring,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2020_10.1038s41467-020-16726-3_SnIV-free_tin_perovskite_films_realized_by_in_situ_Sn0_nanoparticle_treatment_of_the_precursor_solution.pdf,ok,FAI;MAI;SnI2,DMF;DMSO;ethanol,0.9 M,11:3008
PEA2(FAPbBr3)n-1PbBr4,"['PEABr', 'FABr', 'PbBr2']",['DMSO'],,0.6,[],,,,high,0.6 mol/L refers to Pb2+ concentration. Exact stoichiometric ratios of precursors referenced in Supplementary Table 1 (not provided in text). n ranges from 2 to 6 for different compositions.,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2018_10.1038s41467-018-02978-7_Efficient_green_light-emitting_diodes_based_on_quasi-two-dimensional_composition_and_phase_engineered_perovsk.pdf,ok,FABr;PEABr;PbBr2,DMSO;isopropanol,0.6 mol l-1,9:570
,[],[],,,[],,,,low,Document is a review article title page and author information only. No perovskite ink formulation details provided in the extracted text.,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2020_10.1038s41578-020-0181-5_Chiral-perovskite_optoelectronics.pdf,ok,,,,
MAPbI3,"['PbI2', 'MAI']",['DMF'],,0.8,['FPMAI'],,,,medium,Primary formulation is 0.8 M MAPbI3 in DMF. Text also mentions 0.2 M and 0.04 M variants. FPMAI is mentioned as an excess additive in film-forming studies. Solvent system appears to be DMF-based but complete solvent composition not explicitly stated.,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2021_10.1038s41467-020-20433-4_Large-area_and_efficient_perovskite_light-emitting_diodes_via_low-temperature_blade-coating.pdf,ok,MAI;PbI2,DMF,0.04 M;0.2 M;0.8 M,12:147
(FAPbI3)0.85(MAPbBr3)0.15,"['FAPbI3', 'MAPbBr3', 'PbI2']","['DMF', 'DMSO']",6:1,1.05,['MACl'],50,,,high,PbI2 added as 7.5 mol% excess to precursor solution. Antisolvent (diethyl ether) used during spin-coating but not part of ink formulation.,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2018_10.1038s41467-018-05583-w_Understanding_how_excess_lead_iodide_precursor_improves_halide_perovskite_solar_cell_performance.pdf,ok,FAI;MACl;PbI2,DMF;DMSO,1.05 M;3 M,6:1;v/v
,[],[],,,[],,,,low,"Text is truncated and incomplete. Contains synthesis procedures for FAI and PEAI precursor materials and NiOx hole-transport layer, but the actual perovskite ink formulation section ('Perovskite Film Fabric...') is cut off. No perovskite precursor ink composition data available.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2017_10.1021jacs.7b01815_Highly_Oriented_Low-Dimensional_Tin_Halide_Perovskites_with_Enhanced_Stability_and_Photovoltaic_Performance.pdf,ok,FAI;PEAI;SnI2,DMF;DMSO;ethanol,0.6 M;1 M,1:1;4:1
CsPbBr3,"['Cs2CO3', 'PbBr2']",['Octadecene'],,,"['Diisooctyl phosphinic acid', 'Oleylamine']",140,30min,,medium,"Hot injection synthesis of QDs, not traditional solution-processed ink. Cs2CO3 and PbBr2 dissolved separately at 120°C then mixed at 140°C. ODE is primary solvent; isopropanol used as anti-solvent for precipitation (1:3 ratio) but not part of ink formulation.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2019_10.1002adma.201901644_Flexible_Printable_SoftXRay_Detectors_Based_on_AllInorganic_Perovskite_Quantum_Dots.pdf,ok,PbBr2,IPA;ethanol;isopropanol,,1:3
CsPbBr3,"['CsBr', 'PbBr2']",['DMSO'],,0.5,['MABr'],45,overnight,,high,"Main formulation: CsBr:PbBr2 = 2.2:1 molar ratio, PbBr2 at 0.5 M. MABr additive at 0.05 M (molar ratio 0.1 relative to PbBr2) for doped films. Solution decanted after 4 h standing at room temperature; filter pore size not specified.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2017_10.1038ncomms15640_Ultra-bright_and_highly_efficient_inorganic_based_perovskite_light-emitting_diodes.pdf,ok,CsBr;MABr;PbBr2,DMSO;isopropanol;methanol,0.05 M;0.5 M;1.1 M,2.1:1;2.2:1;2.4:1;2:1
,['PbI2'],[],,,['PMMA'],,,,low,"Text discusses PMMA-PbI2 complex formation (1:1 molar ratio mentioned) as an additive strategy for perovskite crystallization control, but does not provide a complete perovskite ink formulation with solvents, molarity, or processing conditions. No primary perovskite composition (ABX3) explicitly stated for the ink preparation.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2023_10.1038s41578-023-00582-w_Long-term_operating_stability_in_perovskite_photovoltaics.pdf,ok,MACl;PbI2,,,1:1
,[],['DMSO'],,,['FSA'],,,,low,"Text discusses Pb-Sn mixed perovskite precursor solutions with FSA additive and DMSO solvent, but does not provide complete formulation details (stoichiometry, precursor chemicals, molarity, processing conditions). Only partial information available.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2020_10.1038s41560-020-00705-5_All-perovskite_tandem_solar_cells_with_24.2_certified_efficiency_and_area_over_1_cm2_using_surface-anchoring_.pdf,ok,PbI2;SnI2,DMSO,,
FACs PbI3,"['PbI2', 'FAI', 'CsI']","['DMF', 'NMP']",,,[],,,,low,"Text discusses PbI2•NMP adduct formation and mentions DMF and NMP as solvents, but no quantitative ink formulation details (molarity, solvent ratio, temperatures, times) are provided. Final perovskite phase identified as δ-(FACs)PbI3 by XRD.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2021_10.1126science.abh1035_Lead_halidetemplated_crystallization_of_methylamine-free_perovskite_for_efficient_photovoltaic_modules.pdf,ok,CsI;FAI;PbCl2;PbI2,DMF;NMP,1.1 M,
,"['PbBr2', 'CsBr', 'MABr', 'PEABr', 'IPABr']",['DMSO'],,,[],20,2h,,medium,"Quasi-2D perovskite with mixed organic cations (MA, PEA, IPA) and Cs. Exact stoichiometry not specified in text ('certain quantities'). Room temperature assumed as 20°C. Formula likely Cs/MA/PEA/IPA-based bromide perovskite with variable n phases.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2018_10.1038s41467-018-05909-8_Color-stable_highly_luminescent_sky-blue_perovskite_light-emitting_diodes.pdf,ok,CsBr;MABr;PEABr;PbBr2,DMSO;IPA,0.5 M,
CsPbI2.8Br0.2,"['PbI2', 'CsI', 'CsBr']","['DMF', 'DMSO']",,,[],,,,medium,Text truncated mid-sentence; CsI amount (0.8 mmol) inferred from stoichiometry with 1.0 mmol PbI2 and 0.2 mmol CsBr to form all-inorganic perovskite. Solvent ratio and molarity not specified in provided text.,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2020_10.1038s41467-019-13909-5_Highly_efficient_all-inorganic_perovskite_solar_cells_with_suppressed_non-radiative_recombination_by_a_Lewis_.pdf,ok,CsBr;CsI;PbI2,DMF;DMSO,,
CsPbI3,"['CsI', 'PbI2']","['DMF', 'DMSO']",1:1,0.8,['PVP'],90,1h,,high,"PVP dissolved in solvent mixture before adding perovskite precursors; initial PVP dissolution at room temperature for 30 min, then perovskite precursor stirred at 90°C for 1h",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2018_10.1038s41467-018-03169-0_Surface_passivation_engineering_strategy_to_fully-inorganic_cubic_CsPbI3_perovskites_for_high-performance_sol.pdf,ok,CsI;PbI2,DMF;DMSO,0.8 M,1:1;9:1076
FA0.85MA0.15Pb(I0.85Br0.15)3,"['FAI', 'MABr', 'PbI2', 'PbBr2']",['DMSO'],,1.2,[],90,,,high,Molar ratio FAI:MABr:PbI2:PbBr2 = 0.85:0.15:2.55:0.45 normalized to perovskite formula. Solution maintained at 90°C before spin coating.,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2017_10.1038ncomms16045_Meniscus-assisted_solution_printing_of_large-grained_perovskite_films_for_high-efficiency_solar_cells.pdf,ok,FAI;MABr;PbBr2;PbI2,DMSO,0.25 M;1.2 M;12 mm;300 mm,0.85:0.15;2.55:0.45;85:0.15
CsPbI3,"['CsI', 'PbI2']","['DMF', 'DMSO']",4:1,0.8,[],,,,high,Molar ratio CsI:PbI2 = 1:1; text mentions CsPbI2Br variant but incomplete,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2018_10.1038s41467-018-04636-4_Solvent-controlled_growth_of_inorganic_perovskite_films_in_dry_environment_for_efficient_and_stable_solar_cel.pdf,ok,CsBr;CsI;PbBr2;PbI2,DMF;DMSO;isopropanol,0.15 M;0.4 M;0.8 M;0.85 M,1:1;4:1;9:2225;v/v
MAPbI3,"['CH3NH3I', 'PbI2']",['DMF'],,1.06,['PEG'],60,12h,,high,Primary ink: CH3NH3I and PbI2 (1:1 molar ratio) at 53 and 153 mg/mL in DMF. Converted 153 mg/mL to ~1.06 M assuming 1:1 stoichiometry. PEG additive at 40 mg/mL. Text also describes alternative formulation with PbCl2 (3:1 ratio) but main perovskite ink uses PbI2.,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2016_10.1038ncomms10228_A_polymer_scaffold_for_self-healing_perovskite_solar_cells.pdf,ok,MAI;PbCl2;PbI2,DMSO;ethanol;methanol,,1:1;1:20;3:1;7:10228
MAPbI3,"['PbI2', 'MAI']",['DMF'],,1,"['MHP', 'F4TCNQ', 'MACl']",,,,high,MHP and F4TCNQ added in variable wt% ranges (0.075–0.300 wt% and 0.01–0.05 wt% respectively); MACl at 0.5 wt% for chlorine-containing variant; F4TCNQ dissolved separately in DMF then added to main precursor solution,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2018_10.1038s41467-018-04028-8_Molecular_doping_enabled_scalable_blading_of_efficient_hole-transport-layer-free_perovskite_solar_cells.pdf,ok,MACl;MAI;PbI2,DMF;DMSO;acetonitrile;isopropanol,1 M,
(α-PEA)PbI3,"['(R- or S-α-PEA)I', 'PbI2']",['DMF'],,0.3,[],,,,high,"Precursor prepared by dissolving (R- or S-α-PEA)PbI3 single crystal in DMF at 0.3 mol L⁻¹. Single crystals grown separately by dissolving (R-α-PEA)I and PbI2 in 45% HI at 90°C, then cooling to 40°C. Film fabrication via spin-coating at 1000 rpm.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2019_10.1038s41467-019-09942-z_Circularly_polarized_light_detection_using_chiral_hybrid_perovskite.pdf,ok,FABr;PbI2,DMF;ethanol,0.3 mol L-1;1 mm,1:1
,"['MABr', 'MACl']",[],,"1.40, 1.69, 1.97, 2.25",[],,,,low,"Text fragment contains only precursor chemical list and viscosity data for different molarities. No complete perovskite ink formulation details (solvents, lead source, full stoichiometry, processing conditions) are provided. Spiro-OMeTAD, Li-TFSI, TBP are charge-transport layer materials, not perovskite ink components.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2020_10.1038s41467-020-18940-5_Roll-to-roll_gravure-printed_flexible_perovskite_solar_cells_using_eco-friendly_antisolvent_bathing_with_wide.pdf,ok,MABr;MACl,isopropanol,1.40 M;1.69 M;1.97 M;10 mm;100 m;18 m;2.25 M;3 m;8 m,11:5146
CsPbClxBr3-x,"['CsCl', 'CsBr', 'PbBr2']",['DMSO'],,0.2,['PEABr'],,12h,,high,"Two formulations described: (1) CsPbClxBr3-x with Pb2+ at 0.2 M, stirred 12 h at room temperature; (2) quasi-2D variant with PEABr additive (x% molar ratio to PbBr2) in 1 mL DMSO. Room temperature assumed ~20-25°C.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2019_10.1038s41467-019-09011-5_Modulation_of_recombination_zone_position_for_quasi-two-dimensional_blue_perovskite_light-emitting_diodes_wit.pdf,ok,CsBr;PEABr;PbBr2,DMSO,0.2 M,
FA0.83MA0.17PbI3,"['PbI2', 'FAI', 'MAI']",['DMF'],,,"['HI', 'HPA', 'HCOOH', 'HCl']",,,,medium,"Perovskite formula partially visible (FA0.83MA0.||); completed based on context. Text discusses acid additives (HI, HPA, HCOOH, HCl) but does not provide complete ink preparation details (molarity, temperature, time). MAPbI3 also mentioned but as reference system, not the main formulation being discussed.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2018_10.1038s41528-018-0035-z_Defects_engineering_for_high-performance_perovskite_solar_cells.pdf,ok,MAI;PbI2,DMF,,
Cs3Bi2I9,"['CsI', 'BiI3']","['DMF', 'DMSO']",7:3,0.6,[],,24h,0.8,high,"Room temperature mixing for 24h, then heated to 80°C for crystallization. This is a single-crystal growth procedure rather than typical ink formulation, but precursor solution parameters extracted as specified.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2020_10.1038s41467-020-16034-w_Nucleation-controlled_growth_of_superior_lead-free_perovskite_Cs3Bi2I9_single-crystals_for_high-performance_X.pdf,ok,CsI,DMF;DMSO,0.6 M,3:2;7:3
PEA2(CsPbBr3)n-1PbBr4,,"['DMSO', 'DMF', 'NMP']",,,['YCl3'],,,,medium,YCl3 additive mentioned at 2% concentration in context of blue quasi-2D perovskite. Solvents listed as commonly used for perovskite precursor dissolution but no specific ink formulation details provided. Perovskite formula extracted from Li et al. example for blue emission quasi-2D PeLED.,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2021_10.1038s41377-021-00501-0_High-performance_quasi-2D_perovskite_light-emitting_diodes_from_materials_to_devices.pdf,ok,,DMF;DMSO;NMP,,10:61
(PEA)0.2(FA)0.8SnI3,"['PEAI', 'FAI', 'SnI2', 'SnF2']","['DMF', 'DMSO']",4:1,0.8,[],70,1h,0.2,high,Molar ratio PEAI:FAI:SnI2:SnF2 = 0.2:0.8:1:0.1 for 500 µL of 0.8 M solution,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2021_10.1038s41467-021-22864-z_Degradation_mechanism_of_hybrid_tin-based_perovskite_solar_cells_and_the_critical_role_of_tin_IV_iodide.pdf,ok,FAI;PEAI;SnI2,DMF;DMSO;ethanol;isopropanol,0.8 M,0.2:0.8;12:2853;1: 1000;1: 4;1:0.1;2: 5000;4:1;v/v
MA1-xGuaxPbI3,"['MAI', 'GuaI', 'PbI2']",['DMSO'],,1.25,[],,,,high,MAI/GuaI ratio varies from 1:0 to 0:1; PbI2 molarity held constant at 1.25 M,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2017_10.1038s41560-017-0054-3_Large_guanidinium_cation_mixed_with_methylammonium_in_lead_iodide_perovskites_for_19_efficient_solar_cells.pdf,ok,MAI;PbI2,DMSO;acetonitrile;ethanol;isopropanol,5 mm,0:1;1:0;1:8;v/v
MAPbI3,"['PbI2', 'MAI']","['DMF', 'GBL', 'DMSO']",,,[],,,,high,"Text describes typical one-step perovskite ink formulation with PbI2 and MAI in DMF or GBL/DMSO mixture. Antisolvent (toluene or chlorobenzene) applied during spin-coating, not part of ink formulation itself.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2016_10.1038ncomms12305_Facile_fabrication_of_large-grain_CH3NH3PbI3xBrx_films_for_high-efficiency_solar_cells_via_CH3NH3Br-selective_Ostwal.pdf,ok,MABr;MAI;PbI2,DMSO;IPA,,7:12305
